PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=372 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=385 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=389 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=387 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=383 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=367 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=362 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=366 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=369 ttl=63 time=376 ms
64 bytes from 10.0.2.22: icmp_seq=370 ttl=63 time=375 ms
64 bytes from 10.0.2.22: icmp_seq=371 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=372 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=373 ttl=63 time=369 ms
64 bytes from 10.0.2.22: icmp_seq=374 ttl=63 time=366 ms
64 bytes from 10.0.2.22: icmp_seq=375 ttl=63 time=363 ms
64 bytes from 10.0.2.22: icmp_seq=376 ttl=63 time=362 ms
64 bytes from 10.0.2.22: icmp_seq=377 ttl=63 time=364 ms
64 bytes from 10.0.2.22: icmp_seq=378 ttl=63 time=364 ms
64 bytes from 10.0.2.22: icmp_seq=379 ttl=63 time=365 ms
64 bytes from 10.0.2.22: icmp_seq=380 ttl=63 time=367 ms
64 bytes from 10.0.2.22: icmp_seq=381 ttl=63 time=368 ms
64 bytes from 10.0.2.22: icmp_seq=382 ttl=63 time=367 ms
64 bytes from 10.0.2.22: icmp_seq=383 ttl=63 time=366 ms
64 bytes from 10.0.2.22: icmp_seq=384 ttl=63 time=365 ms
64 bytes from 10.0.2.22: icmp_seq=385 ttl=63 time=362 ms
64 bytes from 10.0.2.22: icmp_seq=386 ttl=63 time=362 ms
64 bytes from 10.0.2.22: icmp_seq=387 ttl=63 time=363 ms
64 bytes from 10.0.2.22: icmp_seq=388 ttl=63 time=367 ms
64 bytes from 10.0.2.22: icmp_seq=389 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=390 ttl=63 time=3003 ms
64 bytes from 10.0.2.22: icmp_seq=391 ttl=63 time=7857 ms
64 bytes from 10.0.2.22: icmp_seq=392 ttl=63 time=10204 ms
64 bytes from 10.0.2.22: icmp_seq=393 ttl=63 time=10151 ms
64 bytes from 10.0.2.22: icmp_seq=394 ttl=63 time=10059 ms
64 bytes from 10.0.2.22: icmp_seq=395 ttl=63 time=9956 ms
64 bytes from 10.0.2.22: icmp_seq=396 ttl=63 time=9853 ms
64 bytes from 10.0.2.22: icmp_seq=397 ttl=63 time=9750 ms
64 bytes from 10.0.2.22: icmp_seq=398 ttl=63 time=9647 ms
64 bytes from 10.0.2.22: icmp_seq=399 ttl=63 time=9545 ms
64 bytes from 10.0.2.22: icmp_seq=400 ttl=63 time=9441 ms
64 bytes from 10.0.2.22: icmp_seq=401 ttl=63 time=9337 ms
64 bytes from 10.0.2.22: icmp_seq=402 ttl=63 time=9235 ms
64 bytes from 10.0.2.22: icmp_seq=403 ttl=63 time=9131 ms
64 bytes from 10.0.2.22: icmp_seq=404 ttl=63 time=9028 ms
64 bytes from 10.0.2.22: icmp_seq=405 ttl=63 time=8926 ms
64 bytes from 10.0.2.22: icmp_seq=406 ttl=63 time=8821 ms
64 bytes from 10.0.2.22: icmp_seq=407 ttl=63 time=8721 ms
64 bytes from 10.0.2.22: icmp_seq=408 ttl=63 time=8616 ms
64 bytes from 10.0.2.22: icmp_seq=409 ttl=63 time=8515 ms
64 bytes from 10.0.2.22: icmp_seq=410 ttl=63 time=8413 ms
64 bytes from 10.0.2.22: icmp_seq=411 ttl=63 time=8310 ms
64 bytes from 10.0.2.22: icmp_seq=412 ttl=63 time=8206 ms
64 bytes from 10.0.2.22: icmp_seq=413 ttl=63 time=8102 ms
64 bytes from 10.0.2.22: icmp_seq=414 ttl=63 time=8000 ms
64 bytes from 10.0.2.22: icmp_seq=415 ttl=63 time=7897 ms
64 bytes from 10.0.2.22: icmp_seq=416 ttl=63 time=7795 ms
64 bytes from 10.0.2.22: icmp_seq=417 ttl=63 time=7692 ms
64 bytes from 10.0.2.22: icmp_seq=418 ttl=63 time=7589 ms
64 bytes from 10.0.2.22: icmp_seq=419 ttl=63 time=7488 ms
64 bytes from 10.0.2.22: icmp_seq=420 ttl=63 time=7387 ms
64 bytes from 10.0.2.22: icmp_seq=421 ttl=63 time=7285 ms
64 bytes from 10.0.2.22: icmp_seq=422 ttl=63 time=7180 ms
64 bytes from 10.0.2.22: icmp_seq=423 ttl=63 time=7077 ms
64 bytes from 10.0.2.22: icmp_seq=424 ttl=63 time=6975 ms
64 bytes from 10.0.2.22: icmp_seq=425 ttl=63 time=6871 ms
64 bytes from 10.0.2.22: icmp_seq=426 ttl=63 time=6769 ms
64 bytes from 10.0.2.22: icmp_seq=427 ttl=63 time=6667 ms
64 bytes from 10.0.2.22: icmp_seq=428 ttl=63 time=6563 ms
64 bytes from 10.0.2.22: icmp_seq=429 ttl=63 time=6461 ms
64 bytes from 10.0.2.22: icmp_seq=430 ttl=63 time=6358 ms
64 bytes from 10.0.2.22: icmp_seq=431 ttl=63 time=6254 ms
64 bytes from 10.0.2.22: icmp_seq=432 ttl=63 time=6151 ms
64 bytes from 10.0.2.22: icmp_seq=433 ttl=63 time=6049 ms
64 bytes from 10.0.2.22: icmp_seq=434 ttl=63 time=5942 ms
64 bytes from 10.0.2.22: icmp_seq=435 ttl=63 time=5839 ms
64 bytes from 10.0.2.22: icmp_seq=436 ttl=63 time=5736 ms
64 bytes from 10.0.2.22: icmp_seq=437 ttl=63 time=5632 ms
64 bytes from 10.0.2.22: icmp_seq=438 ttl=63 time=5530 ms
64 bytes from 10.0.2.22: icmp_seq=439 ttl=63 time=5428 ms
64 bytes from 10.0.2.22: icmp_seq=440 ttl=63 time=5325 ms
64 bytes from 10.0.2.22: icmp_seq=441 ttl=63 time=5222 ms
64 bytes from 10.0.2.22: icmp_seq=442 ttl=63 time=5119 ms
64 bytes from 10.0.2.22: icmp_seq=443 ttl=63 time=5015 ms
64 bytes from 10.0.2.22: icmp_seq=444 ttl=63 time=4912 ms
64 bytes from 10.0.2.22: icmp_seq=445 ttl=63 time=4809 ms
64 bytes from 10.0.2.22: icmp_seq=446 ttl=63 time=4707 ms
64 bytes from 10.0.2.22: icmp_seq=447 ttl=63 time=4604 ms
64 bytes from 10.0.2.22: icmp_seq=448 ttl=63 time=4502 ms
64 bytes from 10.0.2.22: icmp_seq=449 ttl=63 time=4398 ms
64 bytes from 10.0.2.22: icmp_seq=450 ttl=63 time=4295 ms
64 bytes from 10.0.2.22: icmp_seq=451 ttl=63 time=4192 ms
64 bytes from 10.0.2.22: icmp_seq=452 ttl=63 time=4090 ms
64 bytes from 10.0.2.22: icmp_seq=453 ttl=63 time=3986 ms
64 bytes from 10.0.2.22: icmp_seq=454 ttl=63 time=3883 ms
64 bytes from 10.0.2.22: icmp_seq=455 ttl=63 time=3780 ms
64 bytes from 10.0.2.22: icmp_seq=456 ttl=63 time=3677 ms
64 bytes from 10.0.2.22: icmp_seq=457 ttl=63 time=3570 ms
64 bytes from 10.0.2.22: icmp_seq=458 ttl=63 time=3468 ms
64 bytes from 10.0.2.22: icmp_seq=459 ttl=63 time=3365 ms
64 bytes from 10.0.2.22: icmp_seq=460 ttl=63 time=3260 ms
64 bytes from 10.0.2.22: icmp_seq=461 ttl=63 time=3159 ms
64 bytes from 10.0.2.22: icmp_seq=462 ttl=63 time=3055 ms
64 bytes from 10.0.2.22: icmp_seq=463 ttl=63 time=2949 ms
64 bytes from 10.0.2.22: icmp_seq=464 ttl=63 time=2845 ms
64 bytes from 10.0.2.22: icmp_seq=465 ttl=63 time=2743 ms
64 bytes from 10.0.2.22: icmp_seq=466 ttl=63 time=2640 ms
